Title,Company,Company Link,Date,Job Link,Insights,Description
Data Scientist (Saudi Arabia- Tabuk),Eram Talent,,2024-09-04,https://ae.linkedin.com/jobs/view/data-scientist-saudi-arabia-tabuk-at-eram-talent-4016172007?position=1&pageNum=0&refId=0wxY3%2BYgn%2BtlYWbMpVfpLg%3D%3D&trackingId=UCMpfjE36IrbSXDnCEknhQ%3D%3D&trk=public_jobs_jserp-result_search-card,[],"Experienced Data Scientist to join the Economics, Data, and Statistics department to support the delivery of several key data-driven projects. The Specialist will assist in applying advanced analytics, machine learning, and statistical modeling to extract actionable insights from large datasets, ensuring that data analysis practices are effectively implemented across all projects while maintaining data integrity.

In this role, you will work closely with senior data scientists, data engineers, analysts, and other stakeholders to ensure that each project progresses according to plan. You will contribute to the development and validation of predictive models, support data processing and analysis efforts, and assist in optimizing data pipelines to ensure data is prepared and integrated smoothly for analysis, helping to meet the department's objectives.

Requirements


Extensive experience of 7 years or more in data science, with a strong background in statistical analysis, machine learning, and predictive modeling. Proficiency in programming languages such as Python, R, or SQL, with experience in data manipulation, analysis, and visualization


Strong analytical skills, with the ability to work with complex datasets and derive actionable insights. Excellent communication skills, capable of working effectively with both technical and non-technical stakeholders to ensure alignment on project goals and outcomes. Proven problem-solving and decision-making abilities to address challenges in data science projects, optimize workflows, and ensure successful project delivery


Bachelor's degree in Data Science, Computer Science, Statistics, or a related field is required. A Master's or Ph.D. is preferred
Relevant certifications in data science or machine learning are highly desirable (e.g., Certified Data Scientist, AWS Certified Machine Learning)
Experience managing data-driven projects involving complex data analysis, predictive modeling, and advanced analytics
Show more "
Fraud Data Scientist,Network International,,2024-09-19,https://ae.linkedin.com/jobs/view/fraud-data-scientist-at-network-international-4027791038?position=2&pageNum=0&refId=0wxY3%2BYgn%2BtlYWbMpVfpLg%3D%3D&trackingId=j9IyEG1nAknbbfRc%2Fwt%2BYQ%3D%3D&trk=public_jobs_jserp-result_search-card,[],"This role is responsible for leveraging analytics (especially advanced analytics) to uncover fraud insights and turn them into strategies for the acquiring & issuing fraud risk functions. This role demands collaboration with internal fraud risk & operations teams and clients to define strategies and implement effective rules to prevent fraud loses. The candidate will also provide thought leadership on the effective rule management to minimize the complexities around fraud monitoring tools.
Show more "
Machine Learning Engineer,Callsign,,2024-09-12,https://ae.linkedin.com/jobs/view/machine-learning-engineer-at-callsign-4024321557?position=3&pageNum=0&refId=0wxY3%2BYgn%2BtlYWbMpVfpLg%3D%3D&trackingId=qgdeKQW9Zd5o7ZKHGncZhw%3D%3D&trk=public_jobs_jserp-result_search-card,[],"Russian hacker, Vladimir Leonidovitch Levin, attempted the biggest bank heist the world had ever seen via dial-up internet in 1994, Zia Hayat, Callsign CEO and founder, was hooked - armchair fraud became a real possibility. From this moment, Zia knew he wanted to play a part in stopping the bad guys and securing the internet for all. Founded In 2012, Callsign's mission has been to make Digital Identity simple and secure for everyone and everything. In that time, we've grown to over 200 employees, opened offices in Singapore and Abu Dhabi, been recognised as a WEF Global Innovator and our technology is being used by many of the world's leading financial institutions to keep millions of consumers safe.

But we aren't stopping here. The identity revolution has only just begun, and we are looking to hire the brightest and inquisitive

What the job involves:


Looking for excellent engineers to join their machine learning engineering team, responsible for productionising state-of-the-art ML models for real-time behavioral prediction and anomaly/threat detection
Work across the machine learning life-cycle productionising state-of-the-art behavioral prediction and anomaly/threat detection models
Developing CI/CD testing pipelines
Collaborating closely with the Data Science research team to automate research tasks and applying software and testing best practices to machine learning source code
Collaborating closely with the Data Engineering and Dev-Ops teams on the deployment and monitoring of live production models
(Desirable) Desirable backgrounds and tools in our tech-stack - none of these are requirements, but are a bonus if you have them



Requirements


Strong software engineering skills, including unit and integration testing
Experience in academia or industry on projects leveraging Machine Learning
Ability to optimise model code that heavily uses python's mathematical libraries (numpy, pandas etc) for both batch and online operation
Experience with python environment managers - conda, venv or similar
Experience developing applications for containerised environments (Kubernetes, Docker, Istio/Linkerd, etc.)
Familiarity with CI / CD pipelines
Proficiency with relational databases
Msc/PhD in Computer Science, Machine Learning or a similar quantitative field
An interest in bayesian machine learning, anomaly/novelty detection, one-shot learning and supervised learning
An interest in fraud prevention and cybersecurity
Familiarity with NoSQL databases
Experience working in agile teams
Experience working with QA engineers to triage production bugs
Experience with Java/Scala
Experience with cloud compute platforms (AWS, GCP, Azure, etc.)
Experience with big data technologies (Spark, Hadoop or Hive etc.)
Experience with Kubernetes and Docker
Experience with workflow managers such as Airfow, MLFlow or Kubeflow
Experience with the ELK stack



Benefits


Health Insurance
Visa costs including 1 month paid hotel stay
Annual Airfare Allowance for the home country
3 months full pay maternity leaves & 2 weeks full pay paternity leaves
25 days of annual leave + Callsign Bank Holiday (not included in holiday allowance)
Competitive Salary
Gratuity as EOSB
If you feel you have the above skills we would love to hear from you!
Show more "
Data Scientist,Asiacell Communications PJSC,,2024-08-21,https://ae.linkedin.com/jobs/view/data-scientist-at-asiacell-communications-pjsc-4004901147?position=4&pageNum=0&refId=0wxY3%2BYgn%2BtlYWbMpVfpLg%3D%3D&trackingId=thrSEsZ6OBWvQr0%2Bh4oW3w%3D%3D&trk=public_jobs_jserp-result_search-card,[],"Position: AI & Data Scientist Expert

Business Unit: Commercial/ CVM

Location: Based in Iraq, Sulaymaniyah City




Job Purpose:

As the Artificial Intelligence & Data Scientist, main role is to execute end-to-end Data Science and AI models. Leading the charge, you'll develop and deploy AI-powered solutions encompassing Natural Language Processing (NLP), text analytics, speech analytics, vision technologies, and GenAI solutions.

Ensuring the delivery of top-notch projects that yield substantial business value through various Data Science models such as Recommendation Engines, propensity models, and diverse segmentation techniques will also be your responsibility.

Furthermore, play a pivotal role in driving initiatives related to data monetization strategies and identifying fresh business prospects by leveraging AI and data analytics to uncover potential revenue streams.




Key Accountabilities:

Drive data utilization for business growth and foster data-driven decision-making.
Develop and deploy various AI & DS models for revenue generation, cost reduction, and operational enhancement.
Collaborate with diverse teams to devise innovative data products for B2C and B2B markets.
Conduct comprehensive business analysis to provide insights for strategic decision-making.
Perform data pre-processing, feature engineering, and exploratory data analysis.
Build ETL pipelines to transform unstructured data into suitable formats.
Develop automated analytics solutions and APIs for data access and integration.
Deal with various data formats and apply techniques for data enrichment.
Integrate with big data ecosystems and optimize SQL queries.
Utilize tools like Airflow/ MLFlow for automated data pipelines and statistical methods for transformation.
Support data initiatives and ensure consistent data delivery architecture.
Implement advanced ML algorithms and statistical models for actionable insights.
Communicate findings through data visualizations, reports, and presentations.
Ensure data quality, integrity, and flow while finding relevant data sources.
Propose solutions and strategies for business problems and drive adoption of Generative AI solutions.
Implement image processing techniques and deploy speech analytics solutions.
Spearhead efforts to monetize telecom data and forge strategic partnerships.
Collaborate with business development teams to incorporate data-driven insights.
Uphold data privacy and compliance standards.
Collaborate with engineering and product teams to integrate AI & DS solutions.
Evaluate and monitor AI & DS practice performance and propose recommendations.
Work on assigned duties related to the role.




Pre-requisites:- Education background & Experience background:

BS Computer Science, Information Management, Statistics or closely related field
Language skills: English
6-8 years of experience
Excellent problem solving and analytical skills




Technical Competencies:

Machine Learning / Artificial Intelligence
Pyhton
Digital Analytics
Network Analytics
Visualization tool (Power BI or tableau)
SQL
SAS Enterprise Guide
Big Data Platforms
Generative AI
NLP
Show more "
Machine Learning Engineer,Aventus,,2024-08-21,https://ae.linkedin.com/jobs/view/machine-learning-engineer-at-aventus-4004922647?position=5&pageNum=0&refId=0wxY3%2BYgn%2BtlYWbMpVfpLg%3D%3D&trackingId=tR%2FEkqpdlncivDFih19eCg%3D%3D&trk=public_jobs_jserp-result_search-card,[],"🔍 We’re Hiring: Senior ML Engineer 🔍

📅 Contract Duration: 12+ Months

📍 Location: Abu Dhabi, UAE




Are you a talented Machine Learning Engineer looking to make an impact? Join our forward-thinking team and help drive innovation with cutting-edge machine learning solutions!




What You’ll Do:




Build & Deploy Models: Lead the creation and implementation of machine learning models, utilizing both classical techniques and deep learning methodologies.
Optimize Vision Models: Develop and fine-tune computer vision models for diverse applications to ensure top-notch performance.
Design Scalable Pipelines: Craft robust and scalable ML pipelines ready for production environments.
Collaborate & Innovate: Work closely with data scientists, software engineers, and product managers to deliver seamless end-to-end solutions.
Mentor & Inspire: Guide and support junior engineers, fostering a culture of learning and innovation.
Strategic Influence: Shape the strategic direction of our machine learning initiatives and integrate the latest advancements into our projects.
Champion Inclusion: Promote a positive, collaborative, and inclusive work environment.




What We’re Looking For:




Experience: Minimum of 6 years in machine learning with expertise in both classical and deep learning techniques.
Education: Master’s degree in Computer Science, Machine Learning, AI, or a related field. Practical experience will be considered if a master’s program is underway.




Technical Skills:




Proficient in Python and leading ML frameworks (e.g., TensorFlow, PyTorch, Scikit-learn).
Extensive experience with computer vision technologies (e.g., CNNs, object detection, image segmentation).
Proven track record in deploying ML models at scale.
Strong grasp of data processing and feature engineering.
Familiarity with Azure cloud platforms and containerization technologies (e.g., Docker, Kubernetes)




Soft Skills:




Excellent problem-solving abilities with a pragmatic approach to technical challenges.
Strong communicator, able to simplify complex concepts for all audiences.
A collaborative team player who values diversity and inclusivity.




Ready to shape the future with us? Apply now and let’s drive innovation together! 🌟

Show more "
Machine Learning Engineer - LLM,YO HR Consultancy,,2024-08-26,https://ae.linkedin.com/jobs/view/machine-learning-engineer-llm-at-yo-hr-consultancy-4022367436?position=6&pageNum=0&refId=0wxY3%2BYgn%2BtlYWbMpVfpLg%3D%3D&trackingId=0p05BgPAi6nr7WeImQ49BQ%3D%3D&trk=public_jobs_jserp-result_search-card,[],"LLM - Python for Machine Learning

Experience: 2 - 15 Years

Location- Permanent Remote Anywhere in the world

Contract Duration: 6 Months

Opportunity- Full Time, 8 hours, 5 hours Mandatory overlap with PST

Total Years Of exp- 2+ years Mandatory

Mandatory Skills- Python: min 2 years, Python for Data Science: min 1 yr, Machine Learning: min 1 yr, PyTorch: min 1 yr, Keras: min 1 yr, Tensorflow: min 1 yr

Key skills: Python, ML, PyTorch, Keras, TensorFlow

Job Responsibilities


Develop, train, and deploy machine learning models using TensorFlow and/or PyTorch.
Implement machine learning models and preprocessing pipelines using Scikit-learn.
Apply supervised and unsupervised learning algorithms, including SVM, Decision Trees, Random Forest, and k-NN, to solve complex problems.
Design and implement deep learning architectures such as CNNs, RNNs, GANs, and transfer learning models.
Explore and apply reinforcement learning techniques to enhance AI solutions.


Job Requirements


Bachelor’s/Master’s degree in Engineering, Computer Science, or a related field.
At least 2+ years of experience as a Python-focused Engineer.
1+ years of experience with Python-based frameworks for machine learning.
Proficiency in TensorFlow and/or PyTorch for model development and deployment.
Strong knowledge of Scikit-learn for machine learning model implementation.
In-depth understanding of supervised and unsupervised learning algorithms, as well as deep learning architectures.


Nice To Have


Experience with Keras for quick prototyping of deep learning models.
Proficiency in Pandas and Numpy for data manipulation and preprocessing.
Familiarity with Large Language Models (LLMs) and their applications in AI.
Excellent spoken and written English communication skills.


Skills: data science,scikit-learn,large language models (llms),reinforcement learning,unsupervised learning,pytorch,deep learning,svm,k-nn,random forest,cnns,pandas,decision trees,numpy,ml,supervised learning,tensorflow,transfer learning,learning,python,keras,machine learning,rnns,gans,algorithms
Show more "
[UAE] Senior Consultant AI & Data Science,Sia Partners,,2024-08-25,https://ae.linkedin.com/jobs/view/uae-senior-consultant-ai-data-science-at-sia-partners-4009962083?position=7&pageNum=0&refId=0wxY3%2BYgn%2BtlYWbMpVfpLg%3D%3D&trackingId=mktDGDZ0E37ggXIEcI7xvw%3D%3D&trk=public_jobs_jserp-result_search-card,[],"Sia Partners is a next-generation consulting firm focused on delivering superior value and tangible results to clients as they navigate the digital revolution. Our global footprint and expertise in more than 40 sectors and services allow us to enhance our clients' businesses worldwide. We guide their projects and initiatives in strategy, business transformation, IT & digital strategy, and Data Science. As the pioneer of Consulting 4.0, we integrate AI into our solutions.

Sia Partners comprises of 2,800+ consultants with diverse expertise, and operates from 39 offices worldwide across Asia, North Africa, North America, and Australia, in addition to Europe and the United Kingdom.

In the Middle East, Sia Partners provides expert advisory services on strategy & execution, innovation, operational performance & cost reduction, cyber & data security, efficient organisation, transformation & change management, HR performance, and IT performance. In addition to these services, Sia Institute, Sia Partners’ world-class international training arm, provides a wide range of learning programs and workshops with modules successfully delivered across various locations and sectors, particularly in the Middle East.

Along with a multinational team, the Partners leading the Middle East offices have a long record of accomplishments and expertise; and play an active role in the realization of the region’ vision in both Public and Private sectors.

Why join the Sia Village?

Excellence | Entrepreneurship | Innovation | Teamwork | Care & Support | Employee Wellbeing

These are the six core values that guide all our actions. As an expression of our values, our Sia Village concept describes our commitment to fostering a sense of community within and among our offices. We believe that knowledge sharing is the key, not only to innovation, but to the growth and development of our people.



Job Description



We are seeking a highly skilled and motivated Senior Data Scientist with expertise in AI to join our consulting team. The ideal candidate will possess a strong background in data science, AI technologies, and advanced analytics, with 5-10 years of relevant experience. As a Senior Data Scientist, you will lead and design AI-driven projects, manage key AI products such as SiaGPT and HEKA.AI for the Middle East Hub, bring thought leadership in the AI space, and contribute to pre-sales and business development activities. You will work closely with clients to understand their business needs, develop innovative AI solutions, and provide actionable insights that drive strategic decision-making.

Key Responsibilities:

Lead and Design AI & DS Projects: Design, implement, and lead data science and AI projects, ensuring they meet client objectives and deliver business value.
Product Management: Oversee the management and deployment of AI & DS products/solutions, specifically SiaGPT and HEKA.AI, ensuring successful implementation and adoption in the Middle East Hub.
Thought Leadership in AI & DS: Stay at the forefront of AI & DS trends and technologies, providing thought leadership and contributing to the company’s strategy and offerings in these areas.
Client Collaboration: Work closely with clients to understand their business objectives, data requirements, and AI & DS needs.
Data Analysis and Modeling: Develop and apply advanced statistical models, machine learning algorithms, and AI techniques to solve complex business problems.
Cloud Hosting Expertise: Utilize knowledge of cloud hosting environments, including AWS, Azure, and other relevant platforms, to deploy and manage AI & DS solutions effectively.
Pre-Sales and Business Development: Collaborate with the sales team to identify opportunities, contribute to proposal development, and present AI & DS solutions to prospective clients.
Data Integration: Integrate and analyze data from multiple sources to create unified, accurate datasets for AI & DS modeling and analysis.
Data Visualization: Create visually appealing and interactive dashboards and visualizations to present AI & DS-driven insights in a comprehensible manner.
Stakeholder Communication: Communicate complex AI & DS findings to non-technical stakeholders effectively.


Qualifications


5-10 years of experience in data science, AI, or related fields.
Master’s degree in a quantitative field (e.g., Data Science, Computer Science, Statistics, AI).
Proficiency in Python, SQL, and machine learning frameworks (e.g., TensorFlow, PyTorch).
Experience with BI tools such as Tableau, Power BI, or similar for data visualization.
Strong background in AI/ML techniques, including natural language processing, computer vision, and predictive analytics.
Experience in managing a broad range of AI products and solutions as well as Generative AI (GenAI) solutions.
Knowledge of cloud hosting environments, particularly AWS, Azure, and other relevant platforms.
Knowledge of data warehousing concepts and ETL processes.
Excellent problem-solving and analytical skills.
Effective communication and client-facing skills.
Experience in contributing to pre-sales and business development activities.
Certifications in AI/ML, data science, or cloud platforms are a plus.
Experience with cloud-based AI/ML platforms (e.g., AWS SageMaker, Azure ML) is a plus.
Business proficiency level in English and Arabic (reading, writing, typing) is a must.


Additional Information



What we offer:

Competitive salary and benefits.
Entrepreneurial journey.
Career advocacy program that supports achieving professional development goals through guidance, and real-time feedback.
Continuous learning & development opportunities.

Our Commitment to Diversity

Diversity, equity, inclusion, and belonging (DEIB) are part of Sia Partners’ DNA. Thanks to our expertise in several sectors and our international growth, our teams include a variety of experiences and cultures. We’re confident that promoting DEIB creates an environment in which everyone can reach their full potential.

Our global network, DEIB@Sia Partners, brings together our people worldwide to facilitate local and global progress, focused on the following areas:

Gender equality (global Gender Equality Index score of 91/100 for FY19-20)
Race & Ethnicity
Working Parents
Disabilities

Sia Partners is an equal opportunity employer. All aspects of employment, including hiring, promotion, remuneration, or discipline, are based solely on performance, competence, conduct, or business needs.

To learn more about our mission, values, and business sectors, please visit our website.

Sia Partners is an equal opportunity employer. All aspects of employment, including hiring, promotion, remuneration, or discipline, are based solely on performance, competence, conduct, or business needs.

Show more "
Machine Learning Engineer,Chalhoub Group,,2024-09-17,https://ae.linkedin.com/jobs/view/machine-learning-engineer-at-chalhoub-group-4007676274?position=8&pageNum=0&refId=0wxY3%2BYgn%2BtlYWbMpVfpLg%3D%3D&trackingId=8XgzPtfPlUFspneAw66y5Q%3D%3D&trk=public_jobs_jserp-result_search-card,[],"INSPIRE | EXHILARATE | DELIGHT

On behalf of Wear That, we are looking for a Machine Learning Engineer who will be instrumental in designing, developing, and deploying machine learning models that support our stylists and enhance our customers' experiences. You will work closely with our product development teams to integrate AI capabilities into our platforms, enabling more personalized fashion recommendations, improved sizing predictions, and innovative style simulations

At Wear That, our mission is to evolve the way the everyday day contemporary woman shops by seamlessly connecting her to a styling solution to solve her needs opening up endless possibilities for her to feel confident and inspired in how she dresses.

Founded in 2018, Wear That is at the forefront of the evolution in e-commerce and personal styling. By offering a multi-feature styling solution tailored to the contemporary woman, we empower her to explore new fashion possibilities and feel confident, inspired, and empowered. Wear That boasts a portfolio of 60 global fashion brands and leads with its own data-driven Private Label brands. Leveraging our data and tech solutions, we aspire to reach more women worldwide, continuously solving their styling needs. Our proprietary technology enables us to scale efficiently, delivering the perfect wardrobe choices to our customers.

We offer on-demand, flexible styling services, ensuring personalized and precise experience for our clients. Our unique selling proposition lies in combining advanced technology with a human touch. Through our Styling Recommendation System, we analyze our customers' style preferences, sizes, and measurements, allowing our team of stylists to curate looks that align perfectly with each individual’s expectations. Our curated styling box approach, sourcing from global brands, offers convenience and variety. Customers select items they love, pay only for what they keep, and avoid the risk of unwanted purchases. This innovative model transforms the traditional retail experience, offering a more personalized, cost-effective, and sustainable approach to fashion, while delivering a luxury service accessible to all women.

Today, Wear That is driven by a talented team of over 50 professionals, whose collective efforts have fueled rapid growth over the past six years. Notably, a significant percentage of our team are women, reflecting our commitment to diversity and empowerment.

What You'll Be Doing


Design and develop machine learning algorithms, deep learning applications, and systems.
Construct optimized data pipelines to feed machine learning models.
Collaborate with product teams to define and refine machine learning projects that align with business goals.
Develop and maintain scalable and robust machine learning models to drive user engagement and satisfaction.
Utilize a variety of datasets to train and validate models, ensuring accuracy and efficiency in real-world applications.
Implement advanced machine learning techniques, including supervised and unsupervised learning, deep learning, and anomaly detection.
Optimize and troubleshoot the current recommendation system built on a graph database, ensuring it operates effectively and efficiently.
Ensure seamless integration and data consistency between internal systems and the graph database.
Work with the engineering team to deploy models into production, ensuring they operate at scale and with high reliability.
Develop and implement monitoring tools and alerts for production models.
Continuously evaluate and iterate on models based on performance metrics and feedback from users and stakeholders.
Analyze data to extract insights and build data visualizations to support business intelligence and decision-making.
Utilize data visualization libraries and BI tools to create dashboards and reports for various stakeholders.
Collaborate with UX/UI teams to ensure machine learning features enhance user experience.
Stay updated with the latest trends and advancements in AI and machine learning to bring innovation and improvements to our solutions.
Work in short sprints on a POC/MVP basis and iterate models over time.


What You’ll Need To Succeed


Bachelor’s or Master’s degree in Computer Science, Data Science, or a related technical field.
Proven experience in machine learning, data science, or a similar role.
Strong proficiency in programming languages such as Python and frameworks/libraries like TensorFlow, PyTorch, Scikit-Learn.
Experience with cloud platforms (AWS, Google Cloud, Azure) and understanding of deploying applications at scale.
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy.
Excellent problem-solving skills and the ability to work in a fast-paced, startup environment.
Effective communication skills, both written and verbal, to collaborate with cross-functional teams.


What You’ll Need To Succeed


Bachelor’s or Master’s degree in Computer Science, Data Science, or a related technical field.
Proven experience in machine learning, data science, or a similar role.
Strong proficiency in programming languages such as Python and frameworks/libraries like TensorFlow, PyTorch, and Scikit-Learn.
Experience with graph databases, particularly TigerGraph, or a willingness to learn and adapt to it quickly.
Experience with cloud platforms (AWS, Google Cloud, Azure) and understanding of deploying applications at scale.
Experience in integrating and ensuring data consistency between multiple systems.
Experience working with UX/UI teams to implement machine learning features that enhance user experience.
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy.
Proven experience in developing monitoring tools and setting up alerts for production models.
Ability to analyze complex data sets and provide actionable insights through data visualizations.
Strong skills in data visualization tools and techniques, with experience using BI tools such as Tableau, Power BI, or Looker to create dashboards and visual reports.
Excellent problem-solving skills and the ability to work in a fast-paced, startup environment.
Extensive math and computer skills, with a deep understanding of probability, statistics, and algorithms.
Familiarity with data structures, data modeling, and software architecture.
Effective communication skills, both written and verbal, to collaborate with cross-functional teams.


You'll Love Working With Us Because


We are a group of bright, kind and goal oriented people. You can be your authentic self here, and are empowered to encourage others to do the same!
We are a successful, fast-growing company at the forefront of tech and fashion.
We are a technologically and data-driven business
We are committed to our clients and connected through our vision of “Being every real girls styling solution”
We love solving problems, thinking creatively and trying new things
We believe in autonomy & taking initiative
We are challenged, developed and have meaningful impact
We have a smart, experienced leadership team that wants to do it right and is open to new ideas


We recognise the value that you bring, and we strive to provide a competitive benefits package which includes health care, as well as exclusive employee discounts.

We Invite All Applicants to Apply

It Takes Diversity Of Thought, Culture, Background, Differing Abilities and Perspectives to truly Inspire, Exhilarate and Delight our customers. At Chalhoub Group, we are committed to inclusion and diversity.

We welcome all applicants to apply and be part of our exciting future. We ensure equal opportunity for all our applicants without regard to gender, age, race, religion, national origin or disability status.
Show more "
Senior Data Scientist,Al Ghurair,,2024-08-26,https://ae.linkedin.com/jobs/view/senior-data-scientist-at-al-ghurair-4007646671?position=9&pageNum=0&refId=0wxY3%2BYgn%2BtlYWbMpVfpLg%3D%3D&trackingId=1P0CpxG7mPn1q4NnuTfNHA%3D%3D&trk=public_jobs_jserp-result_search-card,[],"More about the role:




At Al Ghurair, we remain dedicated to driving innovation and shaping the future. As we continue to look for the best and brightest talent to scale our growth, we currently have an amazing opportunity for a Senior Data Scientist in our data team. We seek individuals who are not only experts in their field but also possess a proactive mindset, exceptional collaboration skills, and a passion for fostering a positive work culture.




What you’ll do?

Develop and implement sophisticated ETL processes integrating diverse data sources.
Design and execute complex data models using statistical and machine learning techniques.
Lead analytics projects with Azure Data Lake, Azure SQL Data Warehouse, and Power BI.
Manage, mentor, and grow a team of data scientists and BI developers.
Spearhead the integration of advanced analytics into strategic planning, enhancing forecasting accuracy and market response.
Collaborate with business units to translate complex data insights into actionable business strategies.
Champion the use of data science in identifying new business opportunities and revenue streams.




Who you are?

A minimum of 9 years of experience in data science, with advanced proficiency in SQL, Python/R, and BI tools such as Power BI, Alteryx, and Tableau.
Strong fundamental knowledge in machine learning, statistical analysis, and predictive modeling.
Proven ability to drive revenue enhancement and operational efficiency through data-driven solutions.
Skilled in measuring the impact of data analytics on revenue growth.
Experienced in quantifying improvements in operational processes, including cost reductions and time savings.
Expertise in ensuring the accuracy and reliability of predictive models.
Focus on innovation, leading to the successful implementation of new data tools and methods.
Leadership in fostering the professional development and growth of data science teams.




Who are we?




Al Ghurair is a leading diversified family business group in the Middle East, founded in 1960 with operations spanning six key industry sectors: Foods and Resources, Properties, Construction and Services, Energy, Mobility, and Ventures. Headquartered in Deira, we are proud to employ approximately 28,000 people across more than 50 countries worldwide.




We are looking for passionate and talented individuals to join us in our journey. At Al Ghurair, you have the opportunity to contribute to a legacy of excellence and be part of a team that is shaping the future of the UAE and beyond.




Discover more about us at: www.al-ghurair.com




Why join us?




We’re a vibrant community where individuals thrive and careers flourish. Our diverse community embodies this spirit, fostering a sense of belonging and connection. Here, respect, support, and open communication form the very fabric of our work environment, to fulfil our core Purpose of ‘Enhancing Life’. When you work with us, you become part of our shared purpose, collaborating with colleagues who share your passion and commitment to success.

Show more "
Senior Data Scientist,Arab Monetary Fund,,2024-09-16,https://ae.linkedin.com/jobs/view/senior-data-scientist-at-arab-monetary-fund-4027220015?position=10&pageNum=0&refId=0wxY3%2BYgn%2BtlYWbMpVfpLg%3D%3D&trackingId=z%2Fz9RY7i%2F4MYfW1XN5o7eg%3D%3D&trk=public_jobs_jserp-result_search-card,[],"The Senior Data Scientist will manage, enhance, and ensure the reliability of the Arab Monetary Fund’s economic database and the Arab Financial Markets Database. This role involves applying advanced statistical methodologies to analyze data, interpret results, and develop actionable insights to support the Arab Monetary Fund's flagship reports, studies, and other publications. The specialist will facilitate decision-making processes, align database management practices with international standards, and support key organizational activities through sophisticated data analysis and interpretation.




Main tasks:

Analyze and interpret plans and specifications: Understand plans, drawings, technical specifications, and in-depth database parameters. This includes aligning databases with the AMF's strategic objectives and ensuring that database designs meet organizational needs.
Interpret and transform raw data: Use strong communication and presentation skills to interpret raw data, transforming it into actionable insights, feedback, and applications that support decision-making and inform the organization's publications and activities.
Data analysis and interpretation: Apply advanced statistical analysis methods to interpret complex data sets. Translate raw data into actionable insights and recommendations to support decision-making and reporting.
Support report generation and dissemination: Provide accurate and relevant data analyses to assist in developing major reports, studies, bulletins, and other publications. Ensure data integrity and relevance in all published materials.
Communicate with Stakeholders: Collaborate closely with internal and external stakeholders to gather requirements, provide feedback, and deliver data-driven insights. Effectively explain technical details to a non-technical audience through solid communication and presentation skills.
Training and support: Provide training and support to Arab Monetary Fund staff on database usage, data interpretation, and application of results. Develop and maintain comprehensive documentation and user manuals.
Continuous innovation and improvement: Stay updated with the latest trends and best practices in statistical analysis and database management. Recommend improvements to data processes and systems to enhance functionality and support organizational objectives.




Conditions, professional qualifications, and required experiences:

Must be a citizen of Arab countries.




Educational background: Master’s degree in statistics, data science, or a related field in database management or statistics.




Technical skills:

Strong understanding of database structures, theories, principles, and practices.
Proficiency in SQL or database management systems such as MySQL, PostgreSQL, Oracle, or similar technologies.
Experience dealing with large-scale databases and familiarity with financial and economic data.
Experience with statistical databases.
The ability to analyze and interpret plans and technical specifications.
Experience: 5-7 years of relevant database management experience, particularly in statistical or financial sectors.




Soft skills:

Strong analytical and problem-solving skills.
Excellent oral and written communication skills for preparing reports and documents.
Ability to provide technical support and guidance to users.
Effective teamwork skills and the ability to collaborate with other departments.




Other considerations

Certifications in database management systems (e.g., Oracle Database Certification, Microsoft SQL Server Certification) are advantageous.
Proficiency in Arabic and English to effectively manage economic and financial market databases.
Flexibility and Adaptability: Adapting to evolving technologies and database management practices.




The AMF offers competitive terms of services in accordance with the applicable employment policy, which includes tax free salary, housing allowance, furniture allowance, air tickets allowance, education allowance, and life and medical insurance.




Only short-listed candidates will be contacted

Show more "
